,ID,goal,pledged,currency,deadline,created_at,launched_at,backers_count,percent_funded,loc_country,cate_name,success_or_fail,videoCount,imageCount
0,1193151603,780,262,USD,2018-08-07,2017-04-04,2018-07-18,18,33.58974359,US,Art,0,0,5
1,1428839533,12000,12593,USD,2018-11-14,2018-09-23,2018-10-17,209,104.9416667,US,Childrenswear,1,1,15
2,761677304,10000,3013,USD,2018-11-14,2018-04-01,2018-10-15,38,30.13,US,Children's Books,0,0,2
3,289600410,6470,6521,USD,2018-11-14,2018-09-22,2018-10-15,57,100.7936787,AU,Children's Books,1,1,7
4,1787520409,625,717,USD,2018-11-14,2018-10-04,2018-10-22,23,114.72,US,Comedy,1,1,3
5,1949755547,15000,25915,USD,2018-11-14,2018-10-21,2018-10-23,459,172.7666667,US,Graphic Novels,1,1,27
6,957556678,6500,6774,USD,2018-11-14,2018-07-20,2018-10-15,43,104.22,GB,Art,1,0,16
7,1395473762,10000,12,USD,2018-11-14,2018-09-14,2018-09-15,3,0.12,US,Metal,0,0,0
8,660581565,208000,463,USD,2018-11-14,2018-09-10,2018-09-30,4,0.2225,HK,DIY Electronics,0,0,14
9,975345120,20000,4998,USD,2018-11-14,2018-10-02,2018-10-15,41,24.99,US,Thrillers,0,0,16
10,693384120,1210,1,USD,2018-11-14,2018-06-17,2018-10-09,1,0.1,IT,Music,0,0,0
11,1304569423,4500,9308,USD,2018-11-14,2018-09-03,2018-10-15,222,206.8444444,US,Graphic Design,1,1,25
12,1081358036,21300,499,USD,2018-11-14,2018-10-16,2018-10-20,5,2.3444,AU,Documentary,0,0,0
13,2078937987,2420,616,USD,2018-11-14,2018-09-06,2018-10-15,15,25.45,FR,Typography,0,0,10
14,344948511,3944,4023,USD,2018-11-14,2018-09-11,2018-10-15,126,102.0019246,SE,Fiction,1,1,10
15,1034921550,6000,71,USD,2018-11-14,2018-09-03,2018-09-15,5,1.183333333,US,Comic Books,0,0,16
