,ID,goal,pledged,currency,deadline,created_at,launched_at,backers_count,percent_funded,loc_country,cate_name,success_or_fail,videoCount,imageCount
0,1193151603,780,262,USD,1533677994,1491347901,1531949994,18,33.58974359,US,Art,0,0,5
1,1428839533,12000,12593,USD,1542178740,1537747420,1539788433,209,104.9416667,US,Childrenswear,1,1,15
2,761677304,10000,3013,USD,1542179338,1522598214,1539583738,38,30.13,US,Children's Books,0,0,2
3,289600410,9112,9184.32,AUD,1542179617,1537656570,1539584017,57,100.7936787,AU,Children's Books,1,1,7
4,1787520409,625,717,USD,1542182340,1538711556,1540253605,23,114.72,US,Comedy,1,1,3
5,1949755547,15000,25915,USD,1542182400,1540175448,1540267229,459,172.7666667,US,Graphic Novels,1,1,27
6,957556678,5000,5211,GBP,1542183279,1532095457,1539587679,43,104.22,GB,Art,1,0,16
7,1395473762,10000,12,USD,1542183830,1536942119,1536996230,3,0.12,US,Metal,0,0,0
8,660581565,1600000,3560,HKD,1542184177,1536580245,1538292577,4,0.2225,HK,DIY Electronics,0,0,14
9,975345120,20000,4998,USD,1542185242,1538509385,1539589642,41,24.99,US,Thrillers,0,0,16
10,693384120,1000,1,EUR,1542185245,1529252864,1539071245,1,0.1,IT,Music,0,0,0
11,1304569423,4500,9308,USD,1542193738,1536006702,1539598138,222,206.8444444,US,Graphic Design,1,1,25
12,1081358036,30000,703.32,AUD,1542194488,1539662530,1540030888,5,2.3444,AU,Documentary,0,0,0
13,2078937987,2000,509,EUR,1542195119,1536263153,1539599519,15,25.45,FR,Typography,0,0,10
14,344948511,35851,36568.71,SEK,1542196027,1536683538,1539600427,126,102.0019246,SE,Fiction,1,1,10
15,1034921550,6000,71,USD,1542196734,1536018196,1537009134,5,1.183333333,US,Comic Books,0,0,16
16,1272903285,10800,3351,USD,1542198322,1538984588,1539170722,106,31.02777778,US,Comic Books,0,0,17
17,563572045,6424,7747.5,GBP,1542198605,1533298945,1539603005,189,120.6024284,GB,Publishing,1,1,7
18,582114519,3000,9021,EUR,1542199673,1524160056,1540468073,32,300.7,FR,Product Design,1,1,18
